qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	staxids	ssciname	stitle
ASV_3	gi|3058723938|gb|CP199586.1|	100.000	253	0	0	1	253	5069	4817	5.79e-128	468	253	3457358	N/A	Arthrobacter sp. Hor0625 chromosome, complete genome
ASV_3	gi|3043036434|gb|PX124148.1|	100.000	253	0	0	1	253	426	678	5.79e-128	468	253	1667	N/A	Arthrobacter sp. strain TM10004 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3042790749|gb|PX118918.1|	100.000	253	0	0	1	253	398	650	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain PSA15 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3042790743|gb|PX118912.1|	100.000	253	0	0	1	253	429	681	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain PSA8 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3033062162|gb|PX022939.1|	100.000	253	0	0	1	253	157	409	5.79e-128	468	253	121292	N/A	Pseudarthrobacter sulfonivorans strain S15 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3033664164|gb|PX048557.1|	100.000	253	0	0	1	253	505	757	5.79e-128	468	253	1931993	N/A	Paenarthrobacter sp. strain 22069 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3033170216|gb|PX023253.1|	100.000	253	0	0	1	253	474	726	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain G11 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3032678433|gb|PX022367.1|	100.000	253	0	0	1	253	483	735	5.79e-128	468	253	409290	N/A	Arthrobacter oryzae strain KC18 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3031244242|gb|PV992719.1|	100.000	253	0	0	1	253	509	761	5.79e-128	468	253	1667	N/A	Arthrobacter sp. strain CPO 20.6 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3031244241|gb|PV992718.1|	100.000	253	0	0	1	253	520	772	5.79e-128	468	253	1667	N/A	Arthrobacter sp. strain CPO 20.5 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3031244238|gb|PV992715.1|	100.000	253	0	0	1	253	508	760	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain CPO 20.2 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3022638303|gb|PV931895.1|	100.000	253	0	0	1	253	487	739	5.79e-128	468	253	410837	N/A	Pseudarthrobacter defluvii strain KSPAN4 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3014841930|gb|PV876263.1|	100.000	253	0	0	1	253	439	691	5.79e-128	468	253	409291	N/A	Arthrobacter humicola strain CAS48 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3014841928|gb|PV876261.1|	100.000	253	0	0	1	253	425	677	5.79e-128	468	253	1356565	N/A	Arthrobacter ginsengisoli strain CAS34 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3014841927|gb|PV876260.1|	100.000	253	0	0	1	253	450	702	5.79e-128	468	253	409291	N/A	Arthrobacter humicola strain CAS26 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012973051|gb|PV874905.1|	100.000	253	0	0	1	253	97	349	5.79e-128	468	253	1904863	N/A	Micrococcaceae bacterium strain Bernburg_DiControl_Isolate_116-2 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012973046|gb|PV874900.1|	100.000	253	0	0	1	253	86	338	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain Bernburg_DiControl_Isolate_115-20 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012973032|gb|PV874886.1|	100.000	253	0	0	1	253	96	348	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain Bernburg_DiControl_Isolate_115-3 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012973021|gb|PV874875.1|	100.000	253	0	0	1	253	103	355	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain Bernburg_DiControl_Isolate_114-15 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012973000|gb|PV874854.1|	100.000	253	0	0	1	253	98	350	5.79e-128	468	253	1667	N/A	Arthrobacter sp. strain Bernburg_DiControl_Isolate_113-3 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012972970|gb|PV874824.1|	100.000	253	0	0	1	253	95	347	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain Bernburg_DiControl_Isolate_111-8 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012972960|gb|PV874814.1|	100.000	253	0	0	1	253	98	350	5.79e-128	468	253	1904863	N/A	Micrococcaceae bacterium strain Bernburg_DiControl_Isolate_110-11 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012972955|gb|PV874809.1|	100.000	253	0	0	1	253	94	346	5.79e-128	468	253	1934409	N/A	Pseudarthrobacter sp. strain Bernburg_DiControl_Isolate_110-3 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012972952|gb|PV874806.1|	100.000	253	0	0	1	253	79	331	5.79e-128	468	253	1904863	N/A	Micrococcaceae bacterium strain Bernburg_DiControl_Isolate_109-22 16S ribosomal RNA gene, partial sequence
ASV_3	gi|3012972934|gb|PV874788.1|	100.000	253	0	0	1	253	95	347	5.79e-128	468	253	1667	N/A	Arthrobacter sp. strain Bernburg_DiControl_Isolate_108-23 16S ribosomal RNA gene, partial sequence
ASV_12	gi|532761294|gb|KC921181.1|	100.000	253	0	0	1	253	465	717	5.79e-128	468	253	1391540	N/A	Actinobacterium WWH12 16S ribosomal RNA gene, partial sequence
ASV_30	gi|1774780226|gb|MN686629.1|	100.000	253	0	0	1	253	466	718	5.79e-128	468	253	1404360	N/A	Solirubrobacter phytolaccae strain GTGR-8(T) 16S ribosomal RNA gene, partial sequence
ASV_30	gi|1435360249|gb|MH688822.1|	100.000	253	0	0	1	253	526	778	5.79e-128	468	253	1932788	N/A	Solirubrobacter sp. strain S48 16S ribosomal RNA gene, partial sequence
ASV_30	gi|1407511801|gb|MH509728.1|	100.000	253	0	0	1	253	510	762	5.79e-128	468	253	1932788	N/A	Solirubrobacter sp. strain CPCC 205708 16S ribosomal RNA gene, partial sequence
ASV_30	gi|2060187150|gb|MZ471322.1|	100.000	253	0	0	1	253	493	745	5.79e-128	468	253	1932788	N/A	Solirubrobacter sp. strain 681 16S ribosomal RNA gene, partial sequence
ASV_30	gi|2202206411|gb|OM884936.1|	100.000	253	0	0	1	253	493	745	5.79e-128	468	253	1932788	N/A	Solirubrobacter sp. strain 79 16S ribosomal RNA gene, partial sequence
ASV_30	gi|218750411|gb|FJ459990.1|	100.000	253	0	0	1	253	401	653	5.79e-128	468	253	580963	N/A	Solirubrobacter sp. L64 16S ribosomal RNA gene, partial sequence
ASV_30	gi|566084828|ref|NR_108192.1|	100.000	253	0	0	1	253	530	782	5.79e-128	468	253	77133;211446;490573	N/A	Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence
ASV_30	gi|84453011|dbj|AB245336.1|	100.000	253	0	0	1	253	531	783	5.79e-128	468	253	211446;363834	N/A	Solirubrobacter sp. Gsoil 921 gene for 16S rRNA, partial sequence
ASV_30	gi|84453010|dbj|AB245335.1|	100.000	253	0	0	1	253	522	774	5.79e-128	468	253	363833	N/A	Solirubrobacter sp. Gsoil 917 gene for 16S rRNA, partial sequence
